Категория,Услуга,Ссылка,Результат оказания услуги
Образование,"Признание документов о среднем, техническом и профессиональном, послесреднем образовании",https://egov.kz/cms/ru/online-services/for_citizen/185pass_mon,"Результат оказания услуги
При обращении в Государственную корпорацию:
- удостоверение о признании документов об образовании;
- дубликат удостоверения о признании документов об образовании;
- мотивированный ответ об отказе в оказании государственной услуги.
При обращении на портал:
- удостоверение о признании документов об образовании в электронной форме;
- дубликат удостоверения о признании документов об образовании;
- мотивированный ответ об отказе в оказании государственной услуги.
В случае обращения услугополучателя за результатом оказания государственной услуги на бумажном носителе, результат оказания государственной услуги оформляется в бумажной форме, заверяется печатью и подписью руководителя или уполномоченного на это лица услугодателя."
Образование,"Присуждение образовательных грантов, а также оказание социальной поддержки обучающимся в организациях высшего и (или) послевузовского образования",https://egov.kz/cms/ru/online-services/for_citizen/182pass_mon,"Результат оказания услуги
Электронное свидетельство о присуждении образовательного гранта, а также приказ руководителя ОВПО о назначении стипендии или мотивированный ответ об отказе в оказании государственной услуги."
Образование,"Регистрация студентов, обучающихся за рубежом",https://egov.kz/cms/ru/online-services/for_citizen/6-51pass_mon,"Результат оказания услуги
Уведомление об оказании услуги «Регистрация студентов, обучающихся за рубежом» (о принятии документов для регистрации информации в ИС НОБД и дальнейшей отправки данных для назначения ОСМС), либо мотивированным ответ об отказе."
Трудоустройство и занятость,Аккредитация местных спортивных федераций,https://egov.kz/cms/ru/online-services/for_citizen/mks_657,"Результат оказания услуги
Свидетельство об аккредитации спортивной федерации, переоформленное свидетельство об аккредитации спортивной федерации, дубликат свидетельства об аккредитации спортивной федерации либо мотивированный ответ об отказе в оказании государственной услуги.
На портале -  уведомление о готовности результата государственной услуги, удостоверенное электронной цифровой подписью уполномоченного должностного лица, для получения результата оказания государственной услуги."
Трудоустройство и занятость,Аккредитация республиканских и региональных спортивных федераций,https://egov.kz/cms/ru/online-services/for_citizen/pass505_adsfk,"Результат оказания услуги
Свидетельство об аккредитации спортивной федерации, переоформленное свидетельство об аккредитации спортивной федерации, дубликат свидетельства об аккредитации спортивной федерации либо мотивированный ответ об отказе в оказании государственной услуги.
На портале - направляется уведомление о готовности результата государственной услуги, удостоверенное электронной цифровой подписью уполномоченного должностного лица, для получения результата оказания государственной услуги."
Трудоустройство и занятость,Выдача дубликата сертификата о прохождении тестирования,https://egov.kz/cms/ru/online-services/for_citizen/pass_25_08_mdgs,"Результат оказания услуги
Дубликат сертификата."
Трудоустройство и занятость,Выдача сведений о совершении лицом коррупционного преступления,https://egov.kz/cms/ru/online-services/for_citizen/pass29_gp,"Результат оказания услуги
Выдача сведений о совершении лицом коррупционного преступления.
Уведомление со сведениями о наличии уголовного дела, возбужденного по коррупционным статьям, по которому не принято окончательное процессуальное решение."
Трудоустройство и занятость,Выплата пожизненного ежемесячного материального обеспечения спортсменам и тренерам,https://egov.kz/cms/ru/online-services/for_citizen/pass506_adsfk,"Результат оказания услуги
Уведомление о выплате пожизненного материального обеспечения услугополучателю либо мотивированный ответ об отказе в оказании государственной услуги.
На портале – уведомление о готовности результата государственной услуги, удостоверенное электронной цифровой подписью уполномоченного должностного лица, для получения в Государственной корпорации результата государственной услуги."
Трудоустройство и занятость,Запись на тестирование на оценку личных качеств,https://egov.kz/cms/ru/online-services/for_citizen/pass_25_10_mdgs,"Результат оказания услуги
Расписка о приеме заявления."
Трудоустройство и занятость,Запрос личного дела,https://egov.kz/cms/ru/online-services/for_citizen/pass_25_09_mdgs,"Результат оказания услуги
Данные личного дела из БД ИИС «е-Кызмет»."
Трудоустройство и занятость,Информация о социальных отчислениях обязательного социального страхования,https://egov.kz/cms/ru/online-services/for_citizen/pass171-6_mtszn,"Результат оказания услуги
Информация о состоянии и движении социальных отчислений."
Трудоустройство и занятость,Компенсационная выплата членам сборных команд Республики Казахстан по видам спорта (национальных сборных команд по видам спорта) при получении ими спортивных травм и увечий на международных спортивных соревнованиях,https://egov.kz/cms/ru/online-services/for_citizen/pass_mks02501008,"Результат оказания услуги
Уведомление о компенсационной выплате услугополучателю либо мотивированный ответ об отказе в оказании государственной услуги.
На портале – уведомление о готовности результата государственной услуги, удостоверенное электронной цифровой подписью уполномоченного должностного лица, для получения в Государственной корпорации результата государственной услуги."
Трудоустройство и занятость,"Оказание содействия лицам, ищущим работу",https://egov.kz/cms/ru/online-services/for_citizen/pass177_mtszn,"Результат оказания услуги
Выдача направления лицам на участие в активных мерах содействия занятости, которая включает в себя:
- направление на профессиональное обучение;
- направление на обучение основам предпринимательства по проекту ""Бастау-Бизнес"";
- направление на получение микрокредита;
- направление на молодежную практику;
- направление на социальные рабочие места;
- направление на общественные работы;
- направление на переселение
или мотивированный ответ об отказе в оказании государственной услуги."
Трудоустройство и занятость,"Оказание содействия лицам, ищущим работу, и безработным",https://egov.kz/cms/ru/online-services/for_citizen/pass183_mtczn,"Результат оказания услуги
Уведомление о регистрации в качестве лица, ищущего работу либо мотивированный ответ об отказе в оказании государственной услуги."
Трудоустройство и занятость,Поиск вакансий и подача заявления на участие в конкурсе,https://egov.kz/cms/ru/online-services/for_citizen/pass_25_07_mdgs,"Результат оказания услуги
Расписка о получении документов;
Заявление о приеме на работу."
Трудоустройство и занятость,Поиск вакансий и подача заявления на участие в конкурсе (по новой системе отбора),https://egov.kz/cms/ru/online-services/for_citizen/pass_25_07_mdgs_new,"Результат оказания услуги
Расписка о получении документов;
Заявление о приеме на работу."
Трудоустройство и занятость,Пособие по случаю потери работы,https://egov.kz/cms/ru/online-services/for_citizen/pass155_mtszn,"Результат оказания услуги
Уведомление о назначении (отказе в назначении) социальной выплаты по случаю потери работы.
На портале, портале ЭБТ: электронное уведомление о назначении (отказе в назначении) социальной выплаты по случаю потери работы, удостоверенное ЭЦП руководителя филиала Фонда, направленное в ""личный кабинет"" заявителя на портал, портал ЭБТ.
При оказании через проактивную услугу: Sms-оповещение на мобильный телефон заявителя."
Трудоустройство и занятость,Предоставление информации о регистрации в качестве безработного,https://egov.kz/cms/ru/online-services/for_citizen/pass190-3_mtszn,"Результат оказания услуги
Информация о регистрации в качестве безработного."
Трудоустройство и занятость,Присвоение спортивных званий и категорий,https://egov.kz/cms/ru/online-services/for_citizen/pass507_adsfk,"Результат оказания услуги
Результатом государственной услуги является удостоверение о присвоении спортивного звания, удостоверение о присвоении квалификационной категории и (или) соответствующий нагрудной знак или копия приказа о присвоении спортивных званий и квалификационных категорий, либо мотивированный ответ об отказе в оказании государственной услуги."
Трудоустройство и занятость,Присвоение спортивных разрядов,https://egov.kz/cms/ru/online-services/for_citizen/pass513_adsfk,"Результат оказания услуги
Результатом государственной услуги является удостоверение о присвоении спортивного разряда и квалификационной категории или копии приказа о присвоении спортивных разрядов и квалификационных категорий, либо мотивированный ответ об отказе в оказании государственной услуги."
Трудоустройство и занятость,"Присвоение спортивных разрядов: спортсмен 2 разряда, спортсмен 3 разряда, спортсмен 1 юношеского разряда, спортсмен 2 юношеского разряда, спортсмен 3 юношеского разряда и квалификационных категории",https://egov.kz/cms/ru/online-services/for_citizen/pass514_adsfk,"Результат оказания услуги
Результатом государственной услуги является удостоверение о присвоении юношеского разряда, удостоверение о присвоении квалификационной категории или копии приказа о присвоении юношеских разрядов и квалификационных категорий, либо мотивированный ответ об отказе в оказании государственной услуги."
Трудоустройство и занятость,"Присвоение статусов ""специализированная"" спортивным школам и ""специализированное"" отделениям спортивных школ",https://egov.kz/cms/ru/online-services/for_citizen/pass_mks02501007,"Результат оказания услуги
Копия приказа о присвоении статуса ""специализированная"" спортивным школам или ""специализированное"" отделениям спортивных школ.
На портале – уведомление о готовности результата государственной услуги, удостоверенное электронной цифровой подписью уполномоченного должностного лица, для получения в Государственной корпорации результата государственной услуги.
Расписка об отказе в оказании государственной услуги."
Трудоустройство и занятость,"Регистрация лиц, ищущих работу",https://egov.kz/cms/ru/online-services/for_citizen/pass034_mtszn,"Результат оказания услуги
Уведомление о регистрации в качестве лица, ищущего работу либо мотивированный ответ об отказе в оказании государственной услуги."
Трудоустройство и занятость,Справка о несудимости,https://egov.kz/cms/ru/online-services/for_citizen/e_004,"Результат оказания услуги
Выдача справки о наличии либо отсутствии судимости.
Выдача справки о наличии либо отсутствии судимости другому физическому лицу осуществляется на основании доверенности, удостоверенной нотариально, выданной лицом, в отношении которого запрашиваются сведения.
При электронной подаче запроса на изготовление справки для выезда за границу в бумажной форме, в том числе с апостилем, выдача готовых документов осуществляется через выбранный на портале услугополучателем филиал Государственной корпорации на основании документа, удостоверяющего личность услугополучателя либо его представителя по нотариально заверенной доверенности.
Государственная корпорация обеспечивает хранение справки в бумажной форме в течение 1 месяца, после чего передает их услугодателю для дальнейшего хранения в течение 2 месяцев.
При обращении услугополучателя по истечении 1 месяца, по запросу Государственной корпорации услугодатель в течение 1 рабочего дня направляет готовые документы в Государственную корпорацию для выдачи услугополучателю.
Заявление услугополучателя и документы к нему в бумажной форме, а также справка о наличии либо отсутствии судимости в бумажной форме, за получением которой услугополучатель не явился в течение 3 месяцев подшиваются (формируются) услугодателем в отдельное номенклатурное дело."
Трудоустройство и занятость,"Тестирование государственных служащих, претендентов на занятие вакантной административной государственной должности и граждан, поступающих на правоохранительную службу",https://egov.kz/cms/ru/online-services/for_citizen/553pass_adgs,"Результат оказания услуги
Для административной службы:
- Сертификат.
- Заключение по результату тестирования на оценку личных качеств кандидата на должность корпуса ""Б"".
- Либо справка о прохождении тестирования с результатами ниже значений прохождения тестирования.
Результат оказания государственной услуги направляется посредством портала в личный кабинет кандидата в течение 20 минут.
Для правоохранительной службы​:
- Сертификат о прохождении тестирования на знание государственного языка и законодательства Республики Казахстан.
- Заключение по результатам тестирования на оценку личных качеств кандидата на должность правоохранительной службы.
- Либо справка о прохождении тестирования с результатами ниже значений прохождения тестирования.
Форма предоставления результата оказания государственной услуги: электронная."
Социальное обеспечение,Возврат излишне (ошибочно) уплаченных социальных отчислений и (или) пени за несвоевременную и (или) неполную уплату социальных отчислений,https://egov.kz/cms/ru/online-services/for_citizen/passP6-73_mtszn,"Результат оказания услуги
Уве­дом­ле­ние о воз­вра­те (от­ка­зе в воз­вра­те) из­лишне (оши­боч­но) упла­чен­ных со­ци­аль­ных от­чис­ле­ний и (или) пе­ни за несвое­вре­мен­ную и (или) непол­ную упла­ту со­ци­аль­ных от­чис­ле­ний."
Социальное обеспечение,Возврат ошибочно перечисленных обязательных пенсионных взносов и (или) пени,https://egov.kz/cms/ru/online-services/for_citizen/passP6-72_mtszn,"Результат оказания услуги
Уве­дом­ле­ние о воз­вра­те оши­боч­но пе­ре­чис­лен­ных сумм обя­за­тель­ных пен­си­он­ных взно­сов и (или) пе­ни ли­бо мо­ти­ви­ро­ван­ный от­каз в ока­за­нии го­су­дар­ствен­ной услу­ги."
Социальное обеспечение,Выдача лицам с инвалидностью направлений в санаторий,https://egov.kz/cms/ru/online-services/for_citizen/pass169_mtszn,"Результат оказания услуги
Уведомление об оформлении документов на предоставление лицам с инвалидностью и детям с инвалидностью санаторно-курортного лечения либо мотивированный отказ в оказании государственной услуги.
Госкорпорация информирует заявителя о принятом решении посредством передачи смс-уведомления на абонентский номер заявителя.
При обращении через веб-портал, результат оказания государственной услуги направляется в ""личный кабинет"" заявителя в форме электронного документа, подписанного электронной цифровой подписью уполномоченного лица."
Социальное обеспечение,"Выдача полигонного удостоверения (Семипалатинский полигон), выплата компенсации",https://egov.kz/cms/ru/online-services/for_citizen/pass035_mtszn,"Результат оказания услуги
Услугодателем:
Решение о признании граждан Республики Казахстан пострадавшими вследствие ядерных испытаний на Семипалатинском испытательном ядерном полигоне;
Выдача удостоверения или его дубликата.
В Государственной корпорации или через портал:
Решение о признании граждан Республики Казахстан пострадавшими вследствие ядерных испытаний на Семипалатинском испытательном ядерном полигоне;
Выдача удостоверения или его дубликата;
Выплата компенсации путем перечисления на банковские счета услугополучателя;
Выплата компенсации путем перечисления на контрольные счета наличности временного размещения денег физических и юридических лиц услугополучателей, отбывающих наказание в местах лишения свободы."
Социальное обеспечение,Выдача справки по назначению АСП,https://egov.kz/cms/ru/online-services/for_citizen/pass175_mtszn,"Результат оказания услуги
Информация, подтверждающая принадлежность (либо отсутствие принадлежности) заявителя к получателям адресной социальной помощи."
Социальное обеспечение,Выплата на погребение,https://egov.kz/cms/ru/online-services/for_citizen/pass162_mtszn,"Результат оказания услуги
На портале уведомление о назначении единовременной выплаты на погребение, а также информация о назначении единовременной выплаты на погребение направляется в ""личный кабинет"" услугополучателя в форме электронного документа, удостоверенного электронной цифровой подписью уполномоченного лица услугодателя.
Результат оказания государственной услуги выдается при предъявлении документа, удостоверяющего личность при личном посещении услугополучателя (или его представителя по нотариально заверенной доверенности) на основании расписки о приеме соответствующих документов.
Форма предоставления результата оказания государственной услуги: электронная и (или) бумажная.
Государственная корпорация информирует услугополучателя о принятом решении посредством передачи sms-оповещения на мобильный телефон услугополучателя."
Социальное обеспечение,Информация о начислениях ЕНПФ,https://egov.kz/cms/ru/online-services/for_citizen/pass111_enpf,"Результат оказания услуги
Сведения о поступлении и движении средств вкладчика единого накопительного пенсионного фонда."
Социальное обеспечение,Назначение АСП,https://egov.kz/cms/ru/online-services/for_citizen/pass166_mtszn,"Результат оказания услуги
Уведомление о назначении адресной социальной помощи, а в случае отказа – с указанием его причин в письменной форме через карьерный центр или акима, а также путем направления сообщения на абонентский номер в сетях сотовой связи.
При оказании услуги через портал уведомление о назначении, а в случае отказа – с указанием его причин в ""личный кабинет"" услугополучателя в форме электронного документа, удостоверенного ЭЦП уполномоченного органа."
Социальное обеспечение,Назначение базовой пенсии,https://egov.kz/cms/ru/online-services/for_citizen/pass152_mtszn,"Результат оказания услуги
Уведомление о назначении (об отказе в назначении) государственной базовой пенсионной выплаты.
Форма предоставления результата оказания государственной услуги: электронная и (или) бумажная.
На портале уведомление о назначении государственной базовой пенсионной выплаты, а также информация о назначении государственной базовой пенсионной выплаты направляется в ""личный кабинет"" услугополучателя в форме электронного документа, удостоверенного электронной цифровой подписью уполномоченного лица услугодателя.
Результат оказания государственной услуги выдается при предъявлении документа, удостоверяющего личность при личном посещении услугополучателя (или его представителя по нотариально заверенной доверенности) на основании расписки о приеме соответствующих документов.
Государственная корпорация информирует услугополучателя о принятом решении посредством передачи sms-оповещения на мобильный телефон услугополучателя."
Социальное обеспечение,Назначение государственного социального пособия по инвалидности,https://egov.kz/cms/ru/online-services/for_citizen/pass153_mtszn,"Результат оказания услуги
Уведомление о назначении (об отказе в назначении) пособий.
На портале уведомление о назначении государственного социального пособия по инвалидности, а также информация о назначении пособий направляется в ""личный кабинет"" услугополучателя в форме электронного документа, удостоверенного электронной цифровой подписью уполномоченного лица услугодателя.
Результат оказания государственной услуги выдается при предъявлении документа, удостоверяющего личность при личном посещении услугополучателя (или его представителя по нотариально заверенной доверенности) на основании расписки о приеме соответствующих документов.
Государственная корпорация информирует услугополучателя о принятом решении посредством передачи sms-оповещения на мобильный телефон услугополучателя.
При оказании услуги через проактивную услугу результат оказания услуги предоставляется посредством sms-оповещения на мобильный телефон услугополучателя."
Социальное обеспечение,Назначение пенсии из ЕНПФ,https://egov.kz/cms/ru/online-services/for_citizen/pass171-5_mtszn,"Результат оказания услуги
По за­яв­ле­ни­ям, за­ре­ги­стри­ро­ван­ным в Го­су­дар­ствен­ной кор­по­ра­ции, Го­су­дар­ствен­ная кор­по­ра­ция ин­фор­ми­ру­ет за­яви­те­ля об осу­ществ­ле­нии пен­си­он­ной вы­пла­ты в свя­зи с до­сти­же­ни­ем пен­си­он­но­го воз­рас­та по­сред­ством пе­ре­да­чи sms-уве­дом­ле­ния на но­мер мо­биль­но­го те­ле­фо­на услу­го­по­лу­ча­те­ля, ука­зан­ный в за­яв­ле­нии (при на­ли­чии) не позд­нее од­но­го ра­бо­че­го дня, сле­ду­ю­ще­го за днем пе­ре­во­да пен­си­он­ных вы­плат на бан­ков­ский счет по­лу­ча­те­ля.
По за­яв­ле­ни­ям лиц, яв­ля­ю­щих­ся ли­ца­ми с ин­ва­лид­но­стью пер­вой и вто­рой групп бес­сроч­но, чле­на­ми се­мьи умер­ше­го ли­ца, име­ю­ще­го пен­си­он­ные на­коп­ле­ния, или ли­ца­ми, осу­ще­ствив­ши­ми по­гре­бе­ние, ино­стран­ца­ми, ли­ца­ми без граж­дан­ства, вы­ехав­ши­ми на по­сто­ян­ное ме­сто жи­тель­ства за пре­де­лы Рес­пуб­ли­ки Ка­зах­стан, на­след­ни­ка­ми пен­си­он­ных на­коп­ле­ний умер­ше­го ли­ца, за­ре­ги­стри­ро­ван­ных услу­го­да­те­лем, услу­го­да­тель ин­фор­ми­ру­ет за­яви­те­ля об осу­ществ­ле­нии пен­си­он­ной вы­пла­ты по­сред­ством пе­ре­да­чи sms-уве­дом­ле­ния на но­мер мо­биль­но­го те­ле­фо­на услу­го­по­лу­ча­те­ля, ука­зан­ный в за­яв­ле­нии (при на­ли­чии)."
Социальное обеспечение,Назначение пособий по беременности и родам,https://egov.kz/cms/ru/online-services/for_citizen/pass198_mtszn,"Результат оказания услуги
Уведомление о назначении (отказе в назначении) социальных выплат по случаю потери дохода в связи с беременностью и родами, усыновлением (удочерением) новорожденного ребенка (детей).
На портале: электронное уведомление о назначении (отказе в назначении) социальных выплат по случаю потери дохода в связи с беременностью и родами, усыновлением (удочерением) новорожденного ребенка (детей), удостоверенное электронной цифровой подписью руководителя филиала Фонда, направленное в ""личный кабинет"" заявителя на портал.
При оказании через проактивную услугу: sms-оповещение на мобильный телефон заявителя."
Социальное обеспечение,"Назначение пособия лицу, осуществляющему уход",https://egov.kz/cms/ru/online-services/for_citizen/pass62-3_mtszn,"Результат оказания услуги
Уведомление о назначении пособия.
На портале уведомление о назначении пособий, а также информация о назначении пособий направляется в ""личный кабинет"" услугополучателя в форме электронного документа, удостоверенного ЭЦП уполномоченного лица услугодателя.
Государственная корпорация информирует услугополучателя о принятом решении посредством передачи sms-оповещения на мобильный телефон услугополучателя.
В случае оказания услуги через проактивную услугу результат оказания услуги предоставляется посредством sms-оповещения на мобильный телефон услугополучателя."
Социальное обеспечение,Назначение социальной выплаты по случаю утраты трудоспособности,https://egov.kz/cms/ru/online-services/for_citizen/pass155_mtszn_1,"Результат оказания услуги
Уведомление о назначении (отказе в назначении) социальной выплаты по случаю утраты трудоспособности.
На портале: электронное уведомление о назначении (отказе в назначении) социальной выплаты по случаю утраты трудоспособности.
При оказании через проактивную услугу: sms-оповещение на мобильный телефон заявителя."
Социальное обеспечение,Назначение социальной помощи отдельным категориям нуждающихся граждан по решениям местных представительных органов,https://egov.kz/cms/ru/online-services/for_citizen/pass172_mtszn,"Результат оказания услуги
Уведомление о принятом решении или мотивированный ответ об отказе в оказании государственной услуги.
На портале - уведомление о назначении социальной помощи, а также информация о назначении социальной помощи направляется в «личный кабинет» услугополучателя в форме электронного документа, удостоверенного электронной цифровой подписью уполномоченного лица услугодателя."
Социальное обеспечение,Оформление документов на обеспечение лиц с инвалидностью протезно-ортопедической помощью,https://egov.kz/cms/ru/online-services/for_citizen/pass163_mtszn,"Результат оказания услуги
Уведомление об оформлении документов на предоставление лицам с инвалидностью протезно-ортопедической помощи либо мотивированный отказ в оказании государственной услуги.
Госкорпорация информирует заявителя о принятом решении посредством передачи смс-уведомления на абонентское устройство заявителя.
При обращении через веб-портал, результат оказания государственной услуги направляется в ""личный кабинет"" заявителя в форме электронного документа, подписанного электронной цифровой подписью уполномоченного лица."
Социальное обеспечение,Оформление документов на обеспечение лиц с инвалидностью специальными средствами передвижения,https://egov.kz/cms/ru/online-services/for_citizen/pass01_mtszn,"Результат оказания услуги
Уведомление об оформлении документов на предоставление лицам с инвалидностью специальных средств передвижения либо мотивированный отказ в оказании государственной услуги.
Госкорпорация информирует заявителя о принятом решении посредством передачи смс-уведомления на абонентское устройство заявителя.
При обращении через веб-портал, результат оказания государственной услуги направляется в ""личный кабинет"" заявителя в форме электронного документа, подписанного электронной цифровой подписью уполномоченного лица."
Социальное обеспечение,Оформление документов на обеспечение лиц с инвалидностью техническими-вспомогательными (компенсаторными) средствами,https://egov.kz/cms/ru/online-services/for_citizen/pass02_mtszn,"Результат оказания услуги
Уведомление об оформлении документов на предоставление лицам с инвалидностью технических вспомогательных (компенсаторных) средств либо мотивированный отказ в оказании государственной услуги.
Госкорпорация информирует заявителя о принятом решении посредством передачи смс-уведомления на абонентское устройство заявителя.
При обращении через веб-портал, результат оказания государственной услуги направляется в «личный кабинет» заявителя в форме электронного документа, подписанного электронной цифровой подписью уполномоченного лица."
